Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

S5         SCREW6-32        7500mil       3450mil       7500mil       3450mil       7500mil       3450mil  T          0.00 6-32 Mounting Screw
S6         SCREW6-32        2800mil       3450mil       2800mil       3450mil       2800mil       3450mil  T          0.00 6-32 Mounting Screw
S3         SCREW6-32       10000mil       7250mil      10000mil       7250mil      10000mil       7250mil  T          0.00 6-32 Mounting Screw
S4         SCREW6-32       10000mil       3450mil      10000mil       3450mil      10000mil       3450mil  T          0.00 6-32 Mounting Screw
C4.A2      3216             6160mil       4280mil       6160mil       4280mil       6160mil   4224.882mil  T         90.00 POLCAP    
FID4       FIDUCIAL         5700mil       4600mil       5700mil       4600mil       5700mil       4600mil  B        270.00 FIDUCIAL  
FID5       FIDUCIAL         4600mil       4000mil       4600mil       4000mil       4600mil       4000mil  B        270.00 FIDUCIAL  
FID6       FIDUCIAL         4120mil       6860mil       4120mil       6860mil       4120mil       6860mil  B        270.00 FIDUCIAL  
FID10      FIDUCIAL         7020mil       3700mil       7020mil       3700mil       7020mil       3700mil  B        270.00 FIDUCIAL  
C46        0603             5600mil       5830mil       5600mil       5830mil       5600mil   5863.465mil  B        270.00 CAPACITOR 
C47        0402             5870mil   5698.252mil       5870mil   5698.252mil       5870mil   5723.842mil  B        270.00 CAPACITOR 
JP1        HDR2X8           4150mil       5050mil       4500mil       5000mil       4500mil       5000mil  B        180.00 Header 8X2
JP2        HDR2X8           4150mil       6650mil       4500mil       6600mil       4500mil       6600mil  B        180.00 Header 8X2
JP3        HDR2X8           3025mil       5050mil       3375mil       5000mil       3375mil       5000mil  B        180.00 Header 8X2
JP4        HDR2X8           3025mil       6650mil       3375mil       6600mil       3375mil       6600mil  B        180.00 Header 8X2
JP5        HDR2X8           4150mil       4250mil       4500mil       4200mil       4500mil       4200mil  B        180.00 Header 8X2
JP6        HDR2X8           4150mil       5850mil       4500mil       5800mil       4500mil       5800mil  B        180.00 Header 8X2
JP7        HDR2X8           3025mil       4250mil       3375mil       4200mil       3375mil       4200mil  B        180.00 Header 8X2
JP8        HDR2X8           3025mil       5850mil       3375mil       5800mil       3375mil       5800mil  B        180.00 Header 8X2
P1.A1      Vertical_BNC_227699-1       9400mil       6650mil       9400mil       6650mil       9400mil       6650mil  B        180.00 BNC       
P1.A2      Vertical_BNC_227699-1       9400mil       5050mil       9400mil       5050mil       9400mil       5050mil  B        180.00 BNC       
P2.A1      Vertical_BNC_227699-1       8600mil       6650mil       8600mil       6650mil       8600mil       6650mil  B        180.00 BNC       
